task_id	gap_kind	upstream_item	required_fixture	target_area	fixture_location	status
diagnostic:1441:Diagnostics.Cannot_start_a_function_call_in_a_type_annotation	diagnostic	Diagnostics.Cannot_start_a_function_call_in_a_type_annotation (TS1441)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1442:Diagnostics.Expected_for_property_initializer	diagnostic	Diagnostics.Expected_for_property_initializer (TS1442)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1443:Diagnostics.Module_declaration_names_may_only_use_or_quoted_strings	diagnostic	Diagnostics.Module_declaration_names_may_only_use_or_quoted_strings (TS1443)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1453:Diagnostics.resolution_mode_should_be_either_require_or_import	diagnostic	Diagnostics.resolution_mode_should_be_either_require_or_import (TS1453)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1472:Diagnostics.catch_or_finally_expected	diagnostic	Diagnostics.catch_or_finally_expected (TS1472)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1499:Diagnostics.Unknown_regular_expression_flag	diagnostic	Diagnostics.Unknown_regular_expression_flag (TS1499)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1500:Diagnostics.Duplicate_regular_expression_flag	diagnostic	Diagnostics.Duplicate_regular_expression_flag (TS1500)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1501:Diagnostics.This_regular_expression_flag_is_only_available_when_targeting_0_or_later	diagnostic	Diagnostics.This_regular_expression_flag_is_only_available_when_targeting_0_or_later (TS1501)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1502:Diagnostics.The_Unicode_u_flag_and_the_Unicode_Sets_v_flag_cannot_be_set_simultaneously	diagnostic	Diagnostics.The_Unicode_u_flag_and_the_Unicode_Sets_v_flag_cannot_be_set_simultaneously (TS1502)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1503:Diagnostics.Named_capturing_groups_are_only_available_when_targeting_ES2018_or_later	diagnostic	Diagnostics.Named_capturing_groups_are_only_available_when_targeting_ES2018_or_later (TS1503)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1504:Diagnostics.Subpattern_flags_must_be_present_when_there_is_a_minus_sign	diagnostic	Diagnostics.Subpattern_flags_must_be_present_when_there_is_a_minus_sign (TS1504)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1505:Diagnostics.Incomplete_quantifier_Digit_expected	diagnostic	Diagnostics.Incomplete_quantifier_Digit_expected (TS1505)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1506:Diagnostics.Numbers_out_of_order_in_quantifier	diagnostic	Diagnostics.Numbers_out_of_order_in_quantifier (TS1506)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1507:Diagnostics.There_is_nothing_available_for_repetition	diagnostic	Diagnostics.There_is_nothing_available_for_repetition (TS1507)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1508:Diagnostics.Unexpected_0_Did_you_mean_to_escape_it_with_backslash	diagnostic	Diagnostics.Unexpected_0_Did_you_mean_to_escape_it_with_backslash (TS1508)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1509:Diagnostics.This_regular_expression_flag_cannot_be_toggled_within_a_subpattern	diagnostic	Diagnostics.This_regular_expression_flag_cannot_be_toggled_within_a_subpattern (TS1509)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1510:Diagnostics.k_must_be_followed_by_a_capturing_group_name_enclosed_in_angle_brackets	diagnostic	Diagnostics.k_must_be_followed_by_a_capturing_group_name_enclosed_in_angle_brackets (TS1510)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1511:Diagnostics.q_is_only_available_inside_character_class	diagnostic	Diagnostics.q_is_only_available_inside_character_class (TS1511)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1512:Diagnostics.c_must_be_followed_by_an_ASCII_letter	diagnostic	Diagnostics.c_must_be_followed_by_an_ASCII_letter (TS1512)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1513:Diagnostics.Undetermined_character_escape	diagnostic	Diagnostics.Undetermined_character_escape (TS1513)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1514:Diagnostics.Expected_a_capturing_group_name	diagnostic	Diagnostics.Expected_a_capturing_group_name (TS1514)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1515:Diagnostics.Named_capturing_groups_with_the_same_name_must_be_mutually_exclusive_to_each_other	diagnostic	Diagnostics.Named_capturing_groups_with_the_same_name_must_be_mutually_exclusive_to_each_other (TS1515)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1516:Diagnostics.A_character_class_range_must_not_be_bounded_by_another_character_class	diagnostic	Diagnostics.A_character_class_range_must_not_be_bounded_by_another_character_class (TS1516)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1517:Diagnostics.Range_out_of_order_in_character_class	diagnostic	Diagnostics.Range_out_of_order_in_character_class (TS1517)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1518:Diagnostics.Anything_that_would_possibly_match_more_than_a_single_character_is_invalid_inside_a_negated_character_class	diagnostic	Diagnostics.Anything_that_would_possibly_match_more_than_a_single_character_is_invalid_inside_a_negated_character_class (TS1518)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1519:Diagnostics.Operators_must_not_be_mixed_within_a_character_class_Wrap_it_in_a_nested_class_instead	diagnostic	Diagnostics.Operators_must_not_be_mixed_within_a_character_class_Wrap_it_in_a_nested_class_instead (TS1519)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1520:Diagnostics.Expected_a_class_set_operand	diagnostic	Diagnostics.Expected_a_class_set_operand (TS1520)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1521:Diagnostics.q_must_be_followed_by_string_alternatives_enclosed_in_braces	diagnostic	Diagnostics.q_must_be_followed_by_string_alternatives_enclosed_in_braces (TS1521)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1522:Diagnostics.A_character_class_must_not_contain_a_reserved_double_punctuator_Did_you_mean_to_escape_it_with_backslash	diagnostic	Diagnostics.A_character_class_must_not_contain_a_reserved_double_punctuator_Did_you_mean_to_escape_it_with_backslash (TS1522)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1523:Diagnostics.Expected_a_Unicode_property_name	diagnostic	Diagnostics.Expected_a_Unicode_property_name (TS1523)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1524:Diagnostics.Unknown_Unicode_property_name	diagnostic	Diagnostics.Unknown_Unicode_property_name (TS1524)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1525:Diagnostics.Expected_a_Unicode_property_value	diagnostic	Diagnostics.Expected_a_Unicode_property_value (TS1525)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1526:Diagnostics.Unknown_Unicode_property_value	diagnostic	Diagnostics.Unknown_Unicode_property_value (TS1526)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1527:Diagnostics.Expected_a_Unicode_property_name_or_value	diagnostic	Diagnostics.Expected_a_Unicode_property_name_or_value (TS1527)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1528:Diagnostics.Any_Unicode_property_that_would_possibly_match_more_than_a_single_character_is_only_available_when_the_Unicode_Sets_v_flag_is_set	diagnostic	Diagnostics.Any_Unicode_property_that_would_possibly_match_more_than_a_single_character_is_only_available_when_the_Unicode_Sets_v_flag_is_set (TS1528)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1529:Diagnostics.Unknown_Unicode_property_name_or_value	diagnostic	Diagnostics.Unknown_Unicode_property_name_or_value (TS1529)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1530:Diagnostics.Unicode_property_value_expressions_are_only_available_when_the_Unicode_u_flag_or_the_Unicode_Sets_v_flag_is_set	diagnostic	Diagnostics.Unicode_property_value_expressions_are_only_available_when_the_Unicode_u_flag_or_the_Unicode_Sets_v_flag_is_set (TS1530)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1531:Diagnostics._0_must_be_followed_by_a_Unicode_property_value_expression_enclosed_in_braces	diagnostic	Diagnostics._0_must_be_followed_by_a_Unicode_property_value_expression_enclosed_in_braces (TS1531)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1532:Diagnostics.There_is_no_capturing_group_named_0_in_this_regular_expression	diagnostic	Diagnostics.There_is_no_capturing_group_named_0_in_this_regular_expression (TS1532)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1533:Diagnostics.This_backreference_refers_to_a_group_that_does_not_exist_There_are_only_0_capturing_groups_in_this_regular_expression	diagnostic	Diagnostics.This_backreference_refers_to_a_group_that_does_not_exist_There_are_only_0_capturing_groups_in_this_regular_expression (TS1533)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1534:Diagnostics.This_backreference_refers_to_a_group_that_does_not_exist_There_are_no_capturing_groups_in_this_regular_expression	diagnostic	Diagnostics.This_backreference_refers_to_a_group_that_does_not_exist_There_are_no_capturing_groups_in_this_regular_expression (TS1534)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1535:Diagnostics.This_character_cannot_be_escaped_in_a_regular_expression	diagnostic	Diagnostics.This_character_cannot_be_escaped_in_a_regular_expression (TS1535)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1536:Diagnostics.Octal_escape_sequences_and_backreferences_are_not_allowed_in_a_character_class_If_this_was_intended_as_an_escape_sequence_use_the_syntax_0_instead	diagnostic	Diagnostics.Octal_escape_sequences_and_backreferences_are_not_allowed_in_a_character_class_If_this_was_intended_as_an_escape_sequence_use_the_syntax_0_instead (TS1536)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1537:Diagnostics.Decimal_escape_sequences_and_backreferences_are_not_allowed_in_a_character_class	diagnostic	Diagnostics.Decimal_escape_sequences_and_backreferences_are_not_allowed_in_a_character_class (TS1537)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1538:Diagnostics.Unicode_escape_sequences_are_only_available_when_the_Unicode_u_flag_or_the_Unicode_Sets_v_flag_is_set	diagnostic	Diagnostics.Unicode_escape_sequences_are_only_available_when_the_Unicode_u_flag_or_the_Unicode_Sets_v_flag_is_set (TS1538)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:17002:Diagnostics.Expected_corresponding_JSX_closing_tag_for_0	diagnostic	Diagnostics.Expected_corresponding_JSX_closing_tag_for_0 (TS17002)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:17006:Diagnostics.An_unary_expression_with_the_0_operator_is_not_allowed_in_the_left_hand_side_of_an_exponentiation_expression_Consider_enclosing_the_expression_in_parentheses	diagnostic	Diagnostics.An_unary_expression_with_the_0_operator_is_not_allowed_in_the_left_hand_side_of_an_exponentiation_expression_Consider_enclosing_the_expression_in_parentheses (TS17006)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:17007:Diagnostics.A_type_assertion_expression_is_not_allowed_in_the_left_hand_side_of_an_exponentiation_expression_Consider_enclosing_the_expression_in_parentheses	diagnostic	Diagnostics.A_type_assertion_expression_is_not_allowed_in_the_left_hand_side_of_an_exponentiation_expression_Consider_enclosing_the_expression_in_parentheses (TS17007)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:17014:Diagnostics.JSX_fragment_has_no_corresponding_closing_tag	diagnostic	Diagnostics.JSX_fragment_has_no_corresponding_closing_tag (TS17014)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:17015:Diagnostics.Expected_corresponding_closing_tag_for_JSX_fragment	diagnostic	Diagnostics.Expected_corresponding_closing_tag_for_JSX_fragment (TS17015)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
